periodConcept,Relation,ConceptLevel,Start Age£¨Ma£©,Bottom Time Uncertainty(Ma),End Age(Ma),Top Time Uncertainty(Ma),Version,positionCoding,Part of,Labal,Publication_year,
Siegenian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_33_32,HistoryOfEarth,SiegenianVan_Eysinga1975(GTS1982),1975,
Emsian,inScheme,Age,unspecified,unspecified,370,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_33_31,HistoryOfEarth,EmsianVan_Eysinga1975(GTS1982),1975,
Eifelian,inScheme,Age,370,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_32_22,HistoryOfEarth,EifelianVan_Eysinga1975(GTS1982),1975,
Givetian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_32_21,HistoryOfEarth,GivetianVan_Eysinga1975(GTS1982),1975,
Frasnian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_31_22,HistoryOfEarth,FrasnianVan_Eysinga1975(GTS1982),1975,
Famennian,inScheme,Age,unspecified,unspecified,345,unspecified,Van_Eysinga1975(GTS1982),05_41_33_63_31_21,HistoryOfEarth,FamennianVan_Eysinga1975(GTS1982),1975,
Hastarian,inScheme,Age,345,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_44_22,HistoryOfEarth,HastarianVan_Eysinga1975(GTS1982),1975,
Ivorian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_44_21,HistoryOfEarth,IvorianVan_Eysinga1975(GTS1982),1975,
Chadian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_43_33,HistoryOfEarth,ChadianVan_Eysinga1975(GTS1982),1975,
Arundian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_43_32,HistoryOfEarth,ArundianVan_Eysinga1975(GTS1982),1975,
Holkerian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_43_31,HistoryOfEarth,HolkerianVan_Eysinga1975(GTS1982),1975,
Asbian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_42_44,HistoryOfEarth,AsbianVan_Eysinga1975(GTS1982),1975,
Brigantian,inScheme,Age,unspecified,unspecified,325,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_42_43,HistoryOfEarth,BrigantianVan_Eysinga1975(GTS1982),1975,
Pendleian,inScheme,Age,325,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_42_42,HistoryOfEarth,PendleianVan_Eysinga1975(GTS1982),1975,
Arnsbergian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_42_41,HistoryOfEarth,ArnsbergianVan_Eysinga1975(GTS1982),1975,
Chokierian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_41_44,HistoryOfEarth,ChokierianVan_Eysinga1975(GTS1982),1975,
Alportian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_41_43,HistoryOfEarth,AlportianVan_Eysinga1975(GTS1982),1975,
Kinderscoutian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_41_42,HistoryOfEarth,KinderscoutianVan_Eysinga1975(GTS1982),1975,
Marsdenian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(22)_41_41,HistoryOfEarth,MarsdenianVan_Eysinga1975(GTS1982),1975,
Yeadonian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_33_55,HistoryOfEarth,YeadonianVan_Eysinga1975(GTS1982),1975,
Cheremshangskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_33_54,HistoryOfEarth,CheremshangskianVan_Eysinga1975(GTS1982),1975,
Melekesskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_33_53,HistoryOfEarth,MelekesskianVan_Eysinga1975(GTS1982),1975,
Vereiskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_33_52,HistoryOfEarth,VereiskianVan_Eysinga1975(GTS1982),1975,
Kashirskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_33_51,HistoryOfEarth,KashirskianVan_Eysinga1975(GTS1982),1975,
Podoiskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_32_55,HistoryOfEarth,PodoiskianVan_Eysinga1975(GTS1982),1975,
Myachkovskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_32_54,HistoryOfEarth,MyachkovskianVan_Eysinga1975(GTS1982),1975,
Krevyakinsk,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_32_53,HistoryOfEarth,KrevyakinskVan_Eysinga1975(GTS1982),1975,
Chamovinicheskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_32_52,HistoryOfEarth,ChamovinicheskianVan_Eysinga1975(GTS1982),1975,
Dorogomilovskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_32_51,HistoryOfEarth,DorogomilovskianVan_Eysinga1975(GTS1982),1975,
Kiazminskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_31_22,HistoryOfEarth,KiazminskianVan_Eysinga1975(GTS1982),1975,
Noginskian,inScheme,Age,unspecified,unspecified,280,unspecified,Van_Eysinga1975(GTS1982),05_41_33_62_(21)_31_21,HistoryOfEarth,NoginskianVan_Eysinga1975(GTS1982),1975,
Asselian,inScheme,Age,280,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_33_44,HistoryOfEarth,AsselianVan_Eysinga1975(GTS1982),1975,
Sakmarian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_33_43,HistoryOfEarth,SakmarianVan_Eysinga1975(GTS1982),1975,
Artinskian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_33_42,HistoryOfEarth,ArtinskianVan_Eysinga1975(GTS1982),1975,
Kungurian,inScheme,Age,unspecified,unspecified,251,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_33_41,HistoryOfEarth,KungurianVan_Eysinga1975(GTS1982),1975,
Ufimian,inScheme,Age,251,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_32_33,HistoryOfEarth,UfimianVan_Eysinga1975(GTS1982),1975,
Kazanian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_32_32,HistoryOfEarth,KazanianVan_Eysinga1975(GTS1982),1975,
Tatarian,inScheme,Age,unspecified,unspecified,230,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_32_31,HistoryOfEarth,TatarianVan_Eysinga1975(GTS1982),1975,
Induan,inScheme,Age,230,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_31_22,HistoryOfEarth,InduanVan_Eysinga1975(GTS1982),1975,
Olenekian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_33_61_31_21,HistoryOfEarth,OlenekianVan_Eysinga1975(GTS1982),1975,
Anisian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_33_22,HistoryOfEarth,AnisianVan_Eysinga1975(GTS1982),1975,
Ladinian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_33_21,HistoryOfEarth,LadinianVan_Eysinga1975(GTS1982),1975,
Carnian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_32_22,HistoryOfEarth,CarnianVan_Eysinga1975(GTS1982),1975,
Norian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_32_21,HistoryOfEarth,NorianVan_Eysinga1975(GTS1982),1975,
Rhaetian,inScheme,Age,unspecified,unspecified,195,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_31_33,HistoryOfEarth,RhaetianVan_Eysinga1975(GTS1982),1975,
Hettangian,inScheme,Age,195,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_31_32,HistoryOfEarth,HettangianVan_Eysinga1975(GTS1982),1975,
Sinemurian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_33_31_31,HistoryOfEarth,SinemurianVan_Eysinga1975(GTS1982),1975,
Pliensbachian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_33_44,HistoryOfEarth,PliensbachianVan_Eysinga1975(GTS1982),1975,
Toarcian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_33_43,HistoryOfEarth,ToarcianVan_Eysinga1975(GTS1982),1975,
Aalenian,inScheme,Age,unspecified,unspecified,176,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_33_42,HistoryOfEarth,AalenianVan_Eysinga1975(GTS1982),1975,
Bajocian,inScheme,Age,176,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_33_41,HistoryOfEarth,BajocianVan_Eysinga1975(GTS1982),1975,
Bathonian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_32_44,HistoryOfEarth,BathonianVan_Eysinga1975(GTS1982),1975,
Callovian,inScheme,Age,unspecified,unspecified,160,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_32_43,HistoryOfEarth,CallovianVan_Eysinga1975(GTS1982),1975,
Oxfordian,inScheme,Age,160,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_32_42,HistoryOfEarth,OxfordianVan_Eysinga1975(GTS1982),1975,
Kimmeridgian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_32_41,HistoryOfEarth,KimmeridgianVan_Eysinga1975(GTS1982),1975,
Tithonian,inScheme,Age,unspecified,unspecified,141,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_31_33,HistoryOfEarth,TithonianVan_Eysinga1975(GTS1982),1975,
Berriasian,inScheme,Age,141,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_31_32,HistoryOfEarth,BerriasianVan_Eysinga1975(GTS1982),1975,
Valanginian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_32_31_31,HistoryOfEarth,ValanginianVan_Eysinga1975(GTS1982),1975,
Hauterivian,inScheme,Age,unspecified,unspecified,118,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_66,HistoryOfEarth,HauterivianVan_Eysinga1975(GTS1982),1975,
Barremian,inScheme,Age,118,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_65,HistoryOfEarth,BarremianVan_Eysinga1975(GTS1982),1975,
Aptian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_64,HistoryOfEarth,AptianVan_Eysinga1975(GTS1982),1975,
Albian,inScheme,Age,unspecified,unspecified,100,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_63,HistoryOfEarth,AlbianVan_Eysinga1975(GTS1982),1975,
Cenomanian,inScheme,Age,100,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_62,HistoryOfEarth,CenomanianVan_Eysinga1975(GTS1982),1975,
Turonian,inScheme,Age,unspecified,unspecified,80,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_22_61,HistoryOfEarth,TuronianVan_Eysinga1975(GTS1982),1975,
Coniacian,inScheme,Age,80,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_66,HistoryOfEarth,ConiacianVan_Eysinga1975(GTS1982),1975,
Santonian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_65,HistoryOfEarth,SantonianVan_Eysinga1975(GTS1982),1975,
Campanian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_64,HistoryOfEarth,CampanianVan_Eysinga1975(GTS1982),1975,
Maastrichtian,inScheme,Age,unspecified,unspecified,65,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_63,HistoryOfEarth,MaastrichtianVan_Eysinga1975(GTS1982),1975,
Danian,inScheme,Age,65,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_62,HistoryOfEarth,DanianVan_Eysinga1975(GTS1982),1975,
Thanetian,inScheme,Age,unspecified,unspecified,55,unspecified,Van_Eysinga1975(GTS1982),05_41_32_31_21_61,HistoryOfEarth,ThanetianVan_Eysinga1975(GTS1982),1975,
Ypresian,inScheme,Age,55,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_33_22,HistoryOfEarth,YpresianVan_Eysinga1975(GTS1982),1975,
Lutetian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_33_21,HistoryOfEarth,LutetianVan_Eysinga1975(GTS1982),1975,
Bartonian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_32_33,HistoryOfEarth,BartonianVan_Eysinga1975(GTS1982),1975,
Priabonian,inScheme,Age,unspecified,unspecified,38,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_32_32,HistoryOfEarth,PriabonianVan_Eysinga1975(GTS1982),1975,
Rupelian,inScheme,Age,38,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_32_31,HistoryOfEarth,RupelianVan_Eysinga1975(GTS1982),1975,
Chattian,inScheme,Age,unspecified,unspecified,22.5,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_31_22,HistoryOfEarth,ChattianVan_Eysinga1975(GTS1982),1975,
Aquitanian,inScheme,Age,22.5,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(22)_31_21,HistoryOfEarth,AquitanianVan_Eysinga1975(GTS1982),1975,
Burdigalian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_66,HistoryOfEarth,BurdigalianVan_Eysinga1975(GTS1982),1975,
EarlyLanghian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_65,HistoryOfEarth,EarlyLanghianVan_Eysinga1975(GTS1982),1975,
LateLanghian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_64,HistoryOfEarth,LateLanghianVan_Eysinga1975(GTS1982),1975,
Serravallian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_63,HistoryOfEarth,SerravallianVan_Eysinga1975(GTS1982),1975,
Tortonian,inScheme,Age,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_62,HistoryOfEarth,TortonianVan_Eysinga1975(GTS1982),1975,
Messinian,inScheme,Age,unspecified,unspecified,5,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_22_61,HistoryOfEarth,MessinianVan_Eysinga1975(GTS1982),1975,
Zanclian,inScheme,Age,5,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_21_22,HistoryOfEarth,ZanclianVan_Eysinga1975(GTS1982),1975,
Piacenzian,inScheme,Age,unspecified,unspecified,1.8,unspecified,Van_Eysinga1975(GTS1982),05_41_31_22_(21)_21_21,HistoryOfEarth,PiacenzianVan_Eysinga1975(GTS1982),1975,
Griesbachian,inScheme,SubAge,230,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_32_33_22_(22),HistoryOfEarth,GriesbachianVan_Eysinga1975(GTS1982),1975,
Dienerian,inScheme,SubAge,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_32_33_22_(21),HistoryOfEarth,DienerianVan_Eysinga1975(GTS1982),1975,
Smithian,inScheme,SubAge,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_32_33_21_(22),HistoryOfEarth,SmithianVan_Eysinga1975(GTS1982),1975,
Spathian,inScheme,SubAge,unspecified,unspecified,unspecified,unspecified,Van_Eysinga1975(GTS1982),05_41_31_32_33_21_(21),Phanerozoic,SpathianVan_Eysinga1975(GTS1982),1975,
Paleozoic,inScheme,Era,520-610,unspecified,250,unspecified,GSL1982(Harland1983),04_33,Phanerozoic,PaleozoicGSL1982(Harland1983),1982,
Mesozoic,inScheme,Era,250,unspecified,66.5,unspecified,GSL1982(Harland1983),04_32,Phanerozoic,MesozoicGSL1982(Harland1983),1982,
Cenozoic,inScheme,Era,66.5,unspecified,0,0,GSL1982(Harland1983),04_31,Phanerozoic,CenozoicGSL1982(Harland1983),1982,
Cambrian,inScheme,Period,520-610,unspecified,520,unspecified,GSL1982(Harland1983),04_33_66,Phanerozoic,CambrianGSL1982(Harland1983),1982,
Ordovician,inScheme,Period,520,unspecified,439,unspecified,GSL1982(Harland1983),04_33_65,Phanerozoic,OrdovicianGSL1982(Harland1983),1982,
Silurian,inScheme,Period,439,unspecified,409,unspecified,GSL1982(Harland1983),04_33_64,Phanerozoic,SilurianGSL1982(Harland1983),1982,
Devonian,inScheme,Period,409,unspecified,365,unspecified,GSL1982(Harland1983),04_33_63,Phanerozoic,DevonianGSL1982(Harland1983),1982,
Carboniferous,inScheme,Period,365,unspecified,290,unspecified,GSL1982(Harland1983),04_33_62,Phanerozoic,CarboniferousGSL1982(Harland1983),1982,
Permian,inScheme,Period,290,unspecified,250,unspecified,GSL1982(Harland1983),04_33_61,Phanerozoic,PermianGSL1982(Harland1983),1982,
Triassic,inScheme,Period,250,unspecified,205,unspecified,GSL1982(Harland1983),04_32_33,Phanerozoic,TriassicGSL1982(Harland1983),1982,
Jurassic,inScheme,Period,205,unspecified,135,unspecified,GSL1982(Harland1983),04_32_32,Phanerozoic,JurassicGSL1982(Harland1983),1982,
Cretaceous,inScheme,Period,135,unspecified,66.5,unspecified,GSL1982(Harland1983),04_32_31,Phanerozoic,CretaceousGSL1982(Harland1983),1982,
Paleogene,inScheme,Period,66.5,unspecified,23-24,unspecified,GSL1982(Harland1983),04_31_33,Phanerozoic,PaleogeneGSL1982(Harland1983),1982,
Neogene,inScheme,Period,23-24,unspecified,1.8-2,unspecified,GSL1982(Harland1983),04_31_32,Phanerozoic,NeogeneGSL1982(Harland1983),1982,
Pleistogene,inScheme,Period,1.8-2,unspecified,0,0,GSL1982(Harland1983),04_31_31,Phanerozoic,PleistogeneGSL1982(Harland1983),1982,
Mississippian,inScheme,Subperiod,365,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(22),Phanerozoic,MississippianGSL1982(Harland1983),1982,
Pennsylvanian,inScheme,Subperiod,unspecified,unspecified,290,unspecified,GSL1982(Harland1983),04_33_62_(21),Phanerozoic,PennsylvanianGSL1982(Harland1983),1982,
Caerfai,inScheme,Epoch,520-610,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_66_33,Phanerozoic,CaerfaiGSL1982(Harland1983),1982,
St.Davids,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_66_32,Phanerozoic,St.DavidsGSL1982(Harland1983),1982,
Merioneth,inScheme,Epoch,unspecified,unspecified,520,unspecified,GSL1982(Harland1983),04_33_66_31,Phanerozoic,MerionethGSL1982(Harland1983),1982,
EarlyOrdovician,inScheme,Epoch,520,unspecified,481,unspecified,GSL1982(Harland1983),04_33_65_33,Phanerozoic,EarlyOrdovicianGSL1982(Harland1983),1982,
MiddleOrdovician,inScheme,Epoch,481,unspecified,464,unspecified,GSL1982(Harland1983),04_33_65_32,Phanerozoic,MiddleOrdovicianGSL1982(Harland1983),1982,
LateOrdovician,inScheme,Epoch,464,unspecified,439,unspecified,GSL1982(Harland1983),04_33_65_31,Phanerozoic,LateOrdovicianGSL1982(Harland1983),1982,
Llandovery,inScheme,Epoch,439,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_64_44,Phanerozoic,LlandoveryGSL1982(Harland1983),1982,
Wenlock,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_64_43,Phanerozoic,WenlockGSL1982(Harland1983),1982,
Ludlow,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_64_42,Phanerozoic,LudlowGSL1982(Harland1983),1982,
Pridoli,inScheme,Epoch,unspecified,unspecified,409,unspecified,GSL1982(Harland1983),04_33_64_41,Phanerozoic,PridoliGSL1982(Harland1983),1982,
EarlyDevonian,inScheme,Epoch,409,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_63_33,Phanerozoic,EarlyDevonianGSL1982(Harland1983),1982,
MiddleDevonian,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_63_32,Phanerozoic,MiddleDevonianGSL1982(Harland1983),1982,
LateDevonian,inScheme,Epoch,unspecified,unspecified,365,unspecified,GSL1982(Harland1983),04_33_63_31,Phanerozoic,LateDevonianGSL1982(Harland1983),1982,
Tournaisian,inScheme,Epoch,365,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(22)_33,Phanerozoic,TournaisianGSL1982(Harland1983),1982,
Visean,inScheme,Epoch,unspecified,unspecified,325,unspecified,GSL1982(Harland1983),04_33_62_(22)_32,Phanerozoic,ViseanGSL1982(Harland1983),1982,
Serpukhovian,inScheme,Epoch,325,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(22)_31,Phanerozoic,SerpukhovianGSL1982(Harland1983),1982,
Bashkirian,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(21)_44,Phanerozoic,BashkirianGSL1982(Harland1983),1982,
Moscovian,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(21)_43,Phanerozoic,MoscovianGSL1982(Harland1983),1982,
Kasimovian,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_62_(21)_42,Phanerozoic,KasimovianGSL1982(Harland1983),1982,
Gzelian,inScheme,Epoch,unspecified,unspecified,290,unspecified,GSL1982(Harland1983),04_33_62_(21)_41,Phanerozoic,GzelianGSL1982(Harland1983),1982,
EarlyPermian,inScheme,Epoch,290,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_61_22,Phanerozoic,EarlyPermianGSL1982(Harland1983),1982,
LatePermian,inScheme,Epoch,unspecified,unspecified,250,unspecified,GSL1982(Harland1983),04_33_61_21,Phanerozoic,LatePermianGSL1982(Harland1983),1982,
EarlyTriassic,inScheme,Epoch,250,unspecified,245,unspecified,GSL1982(Harland1983),04_32_33_33,Phanerozoic,EarlyTriassicGSL1982(Harland1983),1982,
MiddleTriassic,inScheme,Epoch,245,unspecified,230,unspecified,GSL1982(Harland1983),04_32_33_32,Phanerozoic,MiddleTriassicGSL1982(Harland1983),1982,
LateTriassic,inScheme,Epoch,230,unspecified,205,unspecified,GSL1982(Harland1983),04_32_33_31,Phanerozoic,LateTriassicGSL1982(Harland1983),1982,
EarlyJurassic,inScheme,Epoch,205,unspecified,175,unspecified,GSL1982(Harland1983),04_32_32_33,Phanerozoic,EarlyJurassicGSL1982(Harland1983),1982,
MiddleJurassic,inScheme,Epoch,175,unspecified,154,unspecified,GSL1982(Harland1983),04_32_32_32,Phanerozoic,MiddleJurassicGSL1982(Harland1983),1982,
LateJurassic,inScheme,Epoch,154,unspecified,135,unspecified,GSL1982(Harland1983),04_32_32_31,Phanerozoic,LateJurassicGSL1982(Harland1983),1982,
EarlyCretaceous,inScheme,Epoch,135,unspecified,95.5,unspecified,GSL1982(Harland1983),04_32_31_22,Phanerozoic,EarlyCretaceousGSL1982(Harland1983),1982,
LateCretaceous,inScheme,Epoch,95.5,unspecified,66.5,unspecified,GSL1982(Harland1983),04_32_31_21,Phanerozoic,LateCretaceousGSL1982(Harland1983),1982,
Paleocene,inScheme,Epoch,66.5,unspecified,58,unspecified,GSL1982(Harland1983),04_31_33_33,Phanerozoic,PaleoceneGSL1982(Harland1983),1982,
Eocene,inScheme,Epoch,58,unspecified,36.5,unspecified,GSL1982(Harland1983),04_31_33_32,Phanerozoic,EoceneGSL1982(Harland1983),1982,
Oligocene,inScheme,Epoch,36.5,unspecified,23-24,unspecified,GSL1982(Harland1983),04_31_33_31,Phanerozoic,OligoceneGSL1982(Harland1983),1982,
Miocene,inScheme,Epoch,23-24,unspecified,5.3,unspecified,GSL1982(Harland1983),04_31_32_22,Phanerozoic,MioceneGSL1982(Harland1983),1982,
Pliocene,inScheme,Epoch,5.3,unspecified,1.8-2,unspecified,GSL1982(Harland1983),04_31_32_21,Phanerozoic,PlioceneGSL1982(Harland1983),1982,
Tremadoc,inScheme,Subepoch,520,unspecified,499,unspecified,GSL1982(Harland1983),04_33_65_33_(22),Phanerozoic,TremadocGSL1982(Harland1983),1982,
Arenig,inScheme,Subepoch,499,unspecified,481,unspecified,GSL1982(Harland1983),04_33_65_33_(21),Phanerozoic,ArenigGSL1982(Harland1983),1982,
Llanvirn,inScheme,Subepoch,481,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_65_32_(22),Phanerozoic,LlanvirnGSL1982(Harland1983),1982,
Llandeilo,inScheme,Subepoch,unspecified,unspecified,464,unspecified,GSL1982(Harland1983),04_33_65_32_(21),Phanerozoic,LlandeiloGSL1982(Harland1983),1982,
Caradoc,inScheme,Subepoch,464,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_33_65_31_(22),Phanerozoic,CaradocGSL1982(Harland1983),1982,
Ashgill,inScheme,Subepoch,unspecified,unspecified,439,unspecified,GSL1982(Harland1983),04_33_65_31_(21),Phanerozoic,AshgillGSL1982(Harland1983),1982,
Neocomian,inScheme,Subepoch,135,unspecified,unspecified,unspecified,GSL1982(Harland1983),04_32_31_22_(22),Phanerozoic,NeocomianGSL1982(Harland1983),1982,
Senonian,inScheme,Subepoch,unspecified,unspecified,66.5,unspecified,GSL1982(Harland1983),04_32_31_21_(21),Phanerozoic,SenonianGSL1982(Harland1983),1982,
